"任务名","视频标题","线索","命中词","咨询时间","挖掘时间","@次数","状态","年龄","性别","省","市"
"星座","#星盘干货 星盘看学业！宝妈也要注意！","姐姐，木星3宫逆行怎么个说法[尬笑]","怎么","2023-02-11 19:49:16","2023-03-08 18:23:06","0","未联系","0","--","",""
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","巨蟹座是不是也喜欢 然后月亮水瓶的","喜欢","2022-06-18 18:41:40","2023-03-08 18:22:50","0","未联系","33","--","","浙江"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","上升射手，月亮双鱼，太阳摩羯，金星水瓶。真的是很喜欢研究。","喜欢","2022-06-19 21:36:01","2023-03-08 18:22:49","0","未联系","27","--","","湖北"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","天蝎路过，我学建筑的，可是上学时候就喜欢买心理学的书","喜欢","2022-06-19 23:38:19","2023-03-08 18:22:49","0","未联系","104","--","","上海"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","巨蟹也喜欢","喜欢","2022-06-22 09:14:45","2023-03-08 18:22:48","0","未联系","0","--","","福建"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","处女   天秤也喜欢[捂脸]","喜欢","2022-06-22 15:41:04","2023-03-08 18:22:48","0","未联系","0","--","","河南"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","天秤也喜欢","喜欢","2022-07-18 12:56:35","2023-03-08 18:22:47","0","未联系","34","--","","安徽"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","双鱼真的很喜欢星座","喜欢","2022-08-19 12:25:09","2023-03-08 18:22:47","0","未联系","26","--","","四川"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","老师我是双鱼座我喜欢星座，但我的想法类似你说的天蝎座的[看][看][看] 我想了解自己的未来学好了能善于人际交往","喜欢","2022-08-21 22:11:28","2023-03-08 18:22:46","0","未联系","34","--","","辽宁"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","看来冬天的星座都喜欢[捂脸]","喜欢","2022-09-05 22:21:27","2023-03-08 18:22:46","0","未联系","0","--","","山西"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","你说的对，我是天蝎，就喜欢研究这个星座","喜欢","2022-10-16 19:43:55","2023-03-08 18:22:45","0","未联系","35","--","","山东"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","我喜欢星座、玄学、哲学是为了看透人与事物的本质我是双鱼[看]","喜欢","2022-07-04 10:57:43","2023-03-08 18:22:45","0","未联系","3","--","","广东"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","我处女座 小学开始就喜欢星座 喜欢印证","喜欢","2022-07-11 14:51:33","2023-03-08 18:22:44","0","未联系","0","--","","山东"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","我处女女我也喜欢呀[捂脸]","喜欢","2022-06-07 07:55:24","2023-03-08 18:22:44","0","未联系","31","--","","陕西"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","我感觉金牛座也很喜欢我室友就是，我也是，陶白白也是[看]","喜欢","2022-06-20 17:46:52","2023-03-08 18:22:43","0","未联系","23","--","","山西"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","我处女座我好喜欢[暗中观察]","喜欢","2022-06-07 00:35:10","2023-03-08 18:22:43","0","未联系","30","--","","江西"
"星座","十二星座数学成绩排名，看看你能排第几，第一名让人没想到","我是巨蟹怎么办@[已脱敏] @[已脱敏] @[已脱敏] @[已脱敏] @[已脱敏] @[已脱敏]","怎么","2022-10-06 15:58:36","2023-03-08 18:22:42","0","未联系","15","--","",""
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","双子也巨喜欢","喜欢","2022-06-07 00:27:06","2023-03-08 18:22:42","0","未联系","22","--","","重庆"
"星座","十二星座数学成绩排名，看看你能排第几，第一名让人没想到","白羊最喜欢挑战，还碰到困难就不想做？","喜欢","2022-08-17 05:59:58","2023-03-08 18:22:42","0","未联系","19","--","",""
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","处女座女表示也很喜欢哲学心理学","喜欢","2022-06-07 06:59:58","2023-03-08 18:22:42","0","未联系","0","--","","安徽"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","我天蝎座，真的喜欢心理学","喜欢","2022-06-06 23:29:44","2023-03-08 18:22:41","0","未联系","28","--","","内蒙古"
"星座","喜欢学习#哲学 #心理学 #星座学 的原因 #十二星座 #松霖 #摩羯座 #天蝎座 #射手座 #水瓶座 #双鱼座 ","对的，我喜欢，射手女非常喜欢","喜欢","2022-06-07 00:00:22","2023-03-08 18:22:40","0","未联系","34","--","","福建"
"星座","天生学习好的#星座 #十二星座 #12星座 #星座运势 #星座物语#星座解析 ","水水瓶只能说对自己感兴趣的或者自己想学的才会学的快[泪奔]","感兴趣","2022-05-10 11:08:40","2023-03-08 18:22:39","0","未联系","24","--","",""
"星座","最应该学习#星座 的#十二星座 #12星座 #星座运势 #星座物语 ","双鱼怎么改变懒[泪奔]","怎么","2022-04-08 00:15:38","2023-03-08 18:22:36","0","未联系","0","--","",""
"星座","最应该学习#星座 的#十二星座 #12星座 #星座运势 #星座物语 ","我风象水瓶特别喜欢星座，但就学不好。","喜欢","2022-04-11 20:23:21","2023-03-08 18:22:35","0","未联系","111","--","",""
"星座","最应该学习#星座 的#十二星座 #12星座 #星座运势 #星座物语 ","我可以吗 对星座感兴趣[捂脸]","感兴趣","2022-04-17 16:05:17","2023-03-08 18:22:35","0","未联系","33","--","",""
"星座","最应该学习#星座 的#十二星座 #12星座 #星座运势 #星座物语 ","我是双鱼座，想学懒怎么弄","怎么","2022-04-20 14:48:06","2023-03-08 18:22:34","0","未联系","0","--","",""
"星座","最应该学习#星座 的#十二星座 #12星座 #星座运势 #星座物语 ","射手表示很感兴趣[比心]","感兴趣","2022-05-09 11:58:06","2023-03-08 18:22:34","0","未联系","0","--","",""
"星座","最应该学习#星座 的#十二星座 #12星座 #星座运势 #星座物语 ","水瓶的我特别喜欢看星座，看多了也能在朋友中神神叨叨几句[呲牙]","喜欢","2022-02-24 13:04:40","2023-03-08 18:22:33","0","未联系","39","--","",""
"星座","最应该学习#星座 的#十二星座 #12星座 #星座运势 #星座物语 ","老喜欢你说大双鱼了[鼓掌][鼓掌][鼓掌]","喜欢","2022-02-23 16:06:59","2023-03-08 18:22:32","0","未联系","14","--","",""
"星座","哪些星座的天赋是学习好？","水星天蝎怎么样","怎么","2022-02-24 10:40:33","2023-03-08 18:22:30","0","未联系","22","--","",""
"星座","哪些星座的天赋是学习好？","怎么看水星","怎么","2022-06-17 22:00:31","2023-03-08 18:22:30","0","未联系","0","--","",""
"星座","哪些星座的天赋是学习好？","水金牛怎么样[看]","怎么","2022-11-07 20:49:44","2023-03-08 18:22:29","0","未联系","0","--","",""
"星座","哪些星座的天赋是学习好？","星盘怎么看","怎么","2022-02-14 17:10:14","2023-03-08 18:22:28","0","未联系","0","--","",""
"星座","这三个学霸星座，遇到赶紧投降吧，天生的学霸啊#星座 ","天蝎吧，我就是天蝎，每次作业不拖到很晚绝对不写，特不喜欢写作业，写作业一般都是查的🌝但是每次考试顺利过[害羞]","喜欢","2018-12-04 19:54:46","2023-03-08 18:22:27","0","未联系","17","--","",""
"星座","学霸快来报道#十二星座","双子座说的太准了，喜欢刨根问底","喜欢","2022-05-25 23:16:17","2023-03-08 18:22:25","0","未联系","0","--","","陕西"
"星座","学霸快来报道#十二星座","我从小不爱学习读书 社会上的东西喜欢学","喜欢","2022-06-03 10:54:44","2023-03-08 18:22:24","0","未联系","31","--","","浙江"
"星座","我是第二，你的学霸排行排第几呢？佐下角查看！侧三次更准哦！#学霸排行榜 #十二星座 #星座 #00后 #学生党  ","第一名什么星座呀我不知道怎么查","怎么","2022-04-29 14:17:22","2023-03-08 18:22:24","0","未联系","19","--","",""
"星座","学霸快来报道#十二星座","说黑丝更感兴趣","感兴趣","2022-05-26 05:22:56","2023-03-08 18:22:24","0","未联系","0","--","","甘肃"
"星座","十二星座你是学霸还是学渣？😂😂#十二星座 #学霸 #开学","但是我也不喜欢学习，而我是摩羯座，我不喜欢学习[捂脸]","喜欢","2023-02-26 21:34:47","2023-03-08 18:22:22","0","未联系","0","--","",""
"星座","#十二星座 #十二星座运势 #十二星座解析 #家庭 #学业 #学习 #星盘 #占星 #水星 ","@[已脱敏] 两个娃都是水摩羯[抠鼻]怎么差别这么大？","怎么","2022-06-21 21:27:15","2023-03-08 18:22:19","0","未联系","36","--","","湖北"
"星座","#十二星座 #十二星座运势 #十二星座解析 #家庭 #学业 #学习 #星盘 #占星 #水星 ","水星金牛座怎么样[捂脸]","怎么","2022-07-01 08:49:34","2023-03-08 18:22:19","0","未联系","13","--","","浙江"
"星座","学习力最强的星座第一名#星盘 #星座 #学习 #情感星座 #我的星座 ","家里有俩，呵呵，怎么让我摊上了","怎么","2022-11-22 00:58:42","2023-03-08 18:22:17","0","未联系","0","--","","内蒙古"
"星座","学习力最强的星座#情感#学习 #我要上热门","我怎么没感觉！我是天蝎","怎么","2021-06-03 00:31:10","2023-03-08 18:22:15","0","未联系","34","--","",""
"星座","学习力最强的星座#情感#学习 #我要上热门","双子怎么样","怎么","2021-05-22 21:25:31","2023-03-08 18:22:14","0","未联系","36","--","",""
"星座","学习力最强的星座#情感#学习 #我要上热门","我也是这星座。不想学时是最后一名，老师拿我没办法，天天叫我留校写作业，我不想留校问老师怎么放过我，老师说除非期末考到第一名，不过，只有一个月了，你就别想，结果那个月我特别认真，期末稳稳第一","怎么","2021-05-25 20:33:27","2023-03-08 18:22:14","0","未联系","42","--","",""
"星座","十二星座在家怎么学习？快来看看准不准？#studyaccount #十二星座#星座解析","双子座怎么学习呀？","怎么","2021-10-04 10:39:28","2023-03-08 18:22:12","0","未联系","0","--","",""
"星座","你的星座学霸排名第几呢？ #小学生 #十二星座 #学霸#学霸排行榜 #你是什么星座","怎么没有白羊座","怎么","2022-07-23 16:39:14","2023-03-08 18:22:04","0","未联系","0","--","","广西"
"星座","哪些#星座 的天赋是学习好#十二星座 #12星座 #星座运势#星座物语","请问，怎么查自己的星座属性呀？有知道的亲麻烦解答一下，谢谢🙏","怎么","2022-04-07 09:32:36","2023-03-08 18:22:01","0","未联系","33","--","",""
"星座","哪些#星座 的天赋是学习好#十二星座 #12星座 #星座运势#星座物语","白羊对感兴趣的，一学就会[捂脸][捂脸][捂脸]","感兴趣","2022-04-21 00:01:55","2023-03-08 18:22:01","0","未联系","23","--","",""
"星座","哪些#星座 的天赋是学习好#十二星座 #12星座 #星座运势#星座物语","白羊一学就会 学完就忘[捂脸][捂脸][捂脸]别问我怎么知道的","怎么","2022-02-27 00:59:51","2023-03-08 18:22:00","0","未联系","0","--","",""
"星座","#十二星座 快来看看你的星座是学霸还是学渣#趣味测试 #二次元 #星座物语","怎么，我闺蜜双鱼座，考试每次90多","怎么","2023-01-28 22:34:56","2023-03-08 18:21:59","0","未联系","15","--","","山东"
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","水星处女 太阳天秤 金星摩羯 怎么样啊？","怎么","2022-10-07 09:17:36","2023-03-08 18:21:58","0","未联系","0","--","","湖北"
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","太阳和水星都是处女座，火星是天蝎座的女宝宝怎么样？","怎么","2022-10-10 20:39:30","2023-03-08 18:21:58","0","未联系","0","--","","北京"
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","太阳和水星都是天秤，火星是摩羯，怎么样啊？","怎么","2022-10-11 23:04:08","2023-03-08 18:21:57","0","未联系","0","--","","江苏"
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","老师，太阳天蝎，月亮双子，上升摩羯怎么样？","怎么","2022-10-12 14:43:25","2023-03-08 18:21:57","0","未联系","0","--","","湖北"
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","怎么看星盘","怎么","2022-10-13 14:08:00","2023-03-08 18:21:56","0","未联系","27","--","","广东"
"星座","怎么让孩子成为学霸—解读孩子水星星座 #孩子 #育儿  ","小孩星盘怎么看","怎么","2022-03-05 10:55:56","2023-03-08 18:21:56","0","未联系","35","--","",""
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","确定吗[看]我女儿太阳处女 水星处女 一点也不喜欢读书[看] 能不看书绝不会把书打开[看]","喜欢","2022-10-13 15:44:13","2023-03-08 18:21:56","0","未联系","16","--","","新加坡"
"星座","怎么让孩子成为学霸—解读孩子水星星座 #孩子 #育儿  ","水星天蝎的孩子怎么才可以引导他学习？","怎么","2022-06-08 11:12:23","2023-03-08 18:21:55","0","未联系","0","--","",""
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","星盘要怎么看？","怎么","2022-10-28 00:50:01","2023-03-08 18:21:55","0","未联系","0","--","","浙江"
"星座","怎么让孩子成为学霸—解读孩子水星星座 #孩子 #育儿  ","我儿子水星水瓶，目前幼儿园，每次写作业都把我赶走，不喜欢我在旁边叨叨叨，可是他每次都能完成的很好[捂脸]","喜欢","2022-07-06 01:12:59","2023-03-08 18:21:55","0","未联系","0","--","",""
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","那么谁能告诉我，太阳水瓶的自信心，火星摩羯的驱动力怎么满足？","怎么","2023-01-07 14:36:32","2023-03-08 18:21:55","0","未联系","0","--","","贵州"
"星座","怎么让孩子成为学霸—解读孩子水星星座 #孩子 #育儿  ","怎么知道自己的水星啊[抠鼻][抠鼻][抠鼻][抠鼻][抠鼻][抠鼻][抠鼻]","怎么","2023-02-16 22:21:27","2023-03-08 18:21:54","0","未联系","34","--","",""
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","我家孩子和他爸都是仙女座，都是学霸。我狮子座 喜欢夸孩子 满足他自信心。考一百孩子很淡定我却飘起来了[捂脸]","喜欢","2022-10-10 17:09:13","2023-03-08 18:21:54","0","未联系","28","--","","河南"
"星座","怎么让孩子成为学霸—解读孩子水星星座 #孩子 #育儿  ","怎么算得","怎么","2023-02-20 03:28:49","2023-03-08 18:21:54","0","未联系","23","--","",""
"星座","12星座中，自带学习天赋的是哪些？#教育 #十二星座 #学习 ","我大双子啥都感兴趣，啥都会一点，成绩都不行[捂脸]","感兴趣","2022-10-03 22:44:37","2023-03-08 18:21:54","0","未联系","10","--","","山东"
"星座","怎么让孩子成为学霸—解读孩子水星星座 #孩子 #育儿  ","水星怎么看啊","怎么","2021-09-22 11:58:58","2023-03-08 18:21:53","0","未联系","38","--","",""
"星座","怎么让孩子成为学霸—解读孩子水星星座 #孩子 #育儿  ","怪不得我家水瓶座娃不肯我多说一句话[泪奔]嫌我烦，并且对于未来自己没把握的事，从来不喜欢提前说","喜欢","2021-09-22 14:26:13","2023-03-08 18:21:52","0","未联系","0","--","",""
"星座","今天的空气好新宣啊！#十二星座 #星座 #摩羯座 #天蝎座 #白羊座","双子怎么能做到这么真实的[泣不成声][泣不成声][泣不成声]，是不是在我家安监控了[流泪]","怎么","2022-07-22 10:09:39","2023-03-08 18:21:52","0","未联系","0","--","",""
"星座","今天的空气好新宣啊！#十二星座 #星座 #摩羯座 #天蝎座 #白羊座","风向怎么可能会一直学习呢[看]","怎么","2022-04-24 13:19:53","2023-03-08 18:21:51","0","未联系","0","--","",""
"星座","有些星座学习成绩不好是有原因的#十二星座 #星座解析 ","@[已脱敏] 那个喜欢孔的","喜欢","2022-04-02 19:27:59","2023-03-08 18:21:49","0","未联系","0","--","",""
"星座","注定成学霸的三大星座孩子。#育儿  ","刚听了两句话就知道是射手了[捂脸]只学自己喜欢的，不喜欢束缚，但是对什么都好奇","喜欢","2021-10-16 16:27:07","2023-03-08 18:21:48","0","未联系","0","--","",""
"星座","有些星座学习成绩不好是有原因的#十二星座 #星座解析 ","我白羊学委和数学课代表怎么说","怎么","2022-11-10 22:37:08","2023-03-08 18:21:48","0","未联系","16","--","",""
"星座","有些星座学习成绩不好是有原因的#十二星座 #星座解析 ","怎么可能？我射手座是学霸呀，我也不睡觉呀，而且我们不能带手机呀","怎么","2023-03-05 17:31:19","2023-03-08 18:21:47","0","未联系","0","--","",""
"星座","哪些星座的天赋是学习好？","不一定吧 我怎么这么笨 [捂脸]","怎么","2022-04-18 10:57:56","2023-03-08 18:21:47","0","未联系","31","--","",""
"星座","哪些星座的天赋是学习好？","我女儿仙女座，怎么觉得学习要她的命啊[捂脸]","怎么","2022-04-19 15:50:09","2023-03-08 18:21:46","0","未联系","50","--","",""
"星座","十二星座怎么复习？豪横复习法也太豪横了吧！#星座狗 #轻漫计划 #充能计划 ","是星座怎么复习？","怎么","2022-12-03 18:55:14","2023-03-08 18:21:46","0","未联系","47","--","","山西"
"星座","学习最好的五大星座#十二星座","怎么没有天蝎","怎么","2022-07-17 15:27:44","2023-03-08 18:21:43","0","未联系","0","--","","湖南"
"星座","学习最好的五大星座#十二星座","我竟然是70分，但是我学习非常的好，每一次考试都是90多分，为什么会是70分？[泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声][泣不成声]这怎么不准？","怎么","2022-12-31 15:02:54","2023-03-08 18:21:42","0","未联系","32","--","","河北"
"星座","十二星座里，哪些星座的孩子学习成绩特别好。#孩子教育 #父母课堂 #成绩 #考试 #星座 #识人 #李力刚","我女儿水星巨蟹！实在不喜欢巨蟹座","喜欢","2023-03-07 18:58:53","2023-03-08 18:21:40","0","未联系","9","--","","江苏"
"星座","十二星座里，哪些星座的孩子学习成绩特别好。#孩子教育 #父母课堂 #成绩 #考试 #星座 #识人 #李力刚","巨蟹和处女怎么样呢","怎么","2023-03-08 05:47:42","2023-03-08 18:21:40","0","未联系","28","--","","河北"
"星座","十二星座里，哪些星座的孩子学习成绩特别好。#孩子教育 #父母课堂 #成绩 #考试 #星座 #识人 #李力刚","水星星座是什么意思怎么推算，我只知道我孩子水瓶座","怎么","2023-02-16 06:26:28","2023-03-08 18:21:39","0","未联系","33","--","","广东"
"星座","十二星座里，哪些星座的孩子学习成绩特别好。#孩子教育 #父母课堂 #成绩 #考试 #星座 #识人 #李力刚","李力刚老师超速识人，已赋能上万名学员，孩子教育，夫妻相处，找对象，找工作，找员工，点击【小黄车】购买！成就更好的自己[比心]","购买","2023-02-16 13:37:22","2023-03-08 18:21:39","0","未联系","0","--","","IP未知"
